RUN,TOOL,TPR,TNR,TP,TN,FP,FN
run1,MultiGWAS,0.4,0.984615384615385,4,384,6,6
run1,GWASpoly,0.5,0.987179487179487,5,385,5,5
run1,PLINK,0.4,0.984615384615385,4,384,6,6
run1,SHEsis,0.4,0.984615384615385,4,384,6,6
run1,TASSEL,0.4,0.984615384615385,4,384,6,6
run2,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run2,GWASpoly,0.6,0.98974358974359,6,386,4,4
run2,PLINK,0.6,0.98974358974359,6,386,4,4
run2,SHEsis,0.4,0.984615384615385,4,384,6,6
run2,TASSEL,0.6,0.98974358974359,6,386,4,4
run3,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run3,GWASpoly,0.5,0.987179487179487,5,385,5,5
run3,PLINK,0.7,0.992307692307692,7,387,3,3
run3,SHEsis,0.7,0.992307692307692,7,387,3,3
run3,TASSEL,0.7,0.992307692307692,7,387,3,3
run4,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run4,GWASpoly,0.5,0.987179487179487,5,385,5,5
run4,PLINK,0.6,0.98974358974359,6,386,4,4
run4,SHEsis,0.5,0.987179487179487,5,385,5,5
run4,TASSEL,0.6,0.98974358974359,6,386,4,4
run5,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run5,GWASpoly,0.5,0.987179487179487,5,385,5,5
run5,PLINK,0.7,0.992307692307692,7,387,3,3
run5,SHEsis,0.4,0.984615384615385,4,384,6,6
run5,TASSEL,0.7,0.992307692307692,7,387,3,3
run6,MultiGWAS,0.8,0.994871794871795,8,388,2,2
run6,GWASpoly,0.8,0.994871794871795,8,388,2,2
run6,PLINK,0.9,0.997435897435897,9,389,1,1
run6,SHEsis,0.8,0.994871794871795,8,388,2,2
run6,TASSEL,0.9,0.997435897435897,9,389,1,1
run7,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run7,GWASpoly,0.5,0.987179487179487,5,385,5,5
run7,PLINK,0.6,0.98974358974359,6,386,4,4
run7,SHEsis,0.4,0.984615384615385,4,384,6,6
run7,TASSEL,0.6,0.98974358974359,6,386,4,4
run8,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run8,GWASpoly,0.7,0.992307692307692,7,387,3,3
