RUN,TOOL,TPR,TNR,TP,TN,FP,FN
run1,MultiGWAS,0.4,0.994871794871795,4,388,2,6
run1,GWASpoly,0.2,0.997435897435897,2,389,1,8
run1,PLINK,0.4,0.994871794871795,4,388,2,6
run1,SHEsis,0.2,0.997435897435897,2,389,1,8
run1,TASSEL,0.4,0.994871794871795,4,388,2,6
run2,MultiGWAS,0.4,1,4,390,0,6
run2,GWASpoly,0.1,1,1,390,0,9
run2,PLINK,0.4,1,4,390,0,6
run2,SHEsis,0.1,1,1,390,0,9
run2,TASSEL,0.4,1,4,390,0,6
run3,MultiGWAS,0.4,1,4,390,0,6
run3,GWASpoly,0.2,1,2,390,0,8
run3,PLINK,0.3,1,3,390,0,7
run3,SHEsis,0.1,1,1,390,0,9
run3,TASSEL,0.3,1,3,390,0,7
run4,MultiGWAS,0.6,0.997435897435897,6,389,1,4
run4,GWASpoly,0.2,1,2,390,0,8
run4,PLINK,0.6,0.997435897435897,6,389,1,4
run4,SHEsis,0.3,1,3,390,0,7
run4,TASSEL,0.6,0.997435897435897,6,389,1,4
run5,MultiGWAS,0.5,0.997435897435897,5,389,1,5
run5,GWASpoly,0.1,1,1,390,0,9
run5,PLINK,0.5,0.997435897435897,5,389,1,5
run5,SHEsis,0.1,1,1,390,0,9
run5,TASSEL,0.5,0.997435897435897,5,389,1,5
run6,MultiGWAS,0.7,1,7,390,0,3
run6,GWASpoly,0,1,0,390,0,10
run6,PLINK,0.7,1,7,390,0,3
run6,SHEsis,0,1,0,390,0,10
run6,TASSEL,0.7,1,7,390,0,3
run7,MultiGWAS,0.4,0.997435897435897,4,389,1,6
run7,GWASpoly,0.1,1,1,390,0,9
run7,PLINK,0.4,1,4,390,0,6
run7,SHEsis,0.4,0.997435897435897,4,389,1,6
run7,TASSEL,0.4,1,4,390,0,6
run8,MultiGWAS,0.3,1,3,390,0,7
run8,GWASpoly,0.1,1,1,390,0,9
run8,PLINK,0.3,1,3,390,0,7
run8,SHEsis,0.1,1,1,390,0,9
run8,TASSEL,0.3,1,3,390,0,7
